
------------------------------------------------------------------------------------------------------------------------------------
All maxima | (Original FOM, Second FOM)
Max no. 116 | (5.0224e-05, 4.7103e-04)
Max no. 117 | (5.0051e-05, 9.5252e-04)
Max no. 118 | (4.9389e-05, 5.1011e-04)
Max no. 119 | (4.7811e-05, 9.7557e-04)
Max no. 120 | (4.6968e-05, 3.1758e-04)
Max no. 121 | (4.6526e-05, 2.1123e-03)
Max no. 122 | (4.6361e-05, 1.1604e-03)
Max no. 123 | (4.6286e-05, 4.5240e-04)
Max no. 124 | (4.6144e-05, 1.0716e-03)
Max no. 125 | (4.5746e-05, 2.7749e-04)
Max no. 126 | (4.5732e-05, 1.1525e-03)
Max no. 127 | (4.5556e-05, 9.2984e-04)
Max no. 128 | (4.4900e-05, 5.2908e-04)
Max no. 129 | (4.3687e-05, 1.6081e+01)
Max no. 130 | (4.0976e-05, 3.4431e-04)
Max no. 131 | (3.9608e-05, 2.1506e-03)
Max no. 132 | (3.9578e-05, 1.0974e-03)
Max no. 133 | (3.9461e-05, 8.9892e-04)
Max no. 134 | (3.8709e-05, 3.6088e-04)
Max no. 135 | (3.7149e-05, 5.1392e-04)
Max no. 136 | (3.4723e-05, 1.0036e-04)
Max no. 137 | (3.4171e-05, 4.4688e-03)
Max no. 138 | (3.2769e-05, 7.4789e-04)
Max no. 139 | (3.2727e-05, 1.1834e-04)
Max no. 140 | (3.1261e-05, 2.3847e-04)
Max no. 141 | (3.1172e-05, 3.3199e-05)
Max no. 142 | (2.9447e-05, 1.7264e-03)
Max no. 143 | (2.8801e-05, 1.4591e-03)
Max no. 144 | (2.8618e-05, 7.4234e-04)
Max no. 145 | (2.7771e-05, 3.3543e-04)
Max no. 146 | (2.7698e-05, 2.7437e-04)
Max no. 147 | (2.7360e-05, 1.1096e-04)
Max no. 148 | (2.6427e-05, 1.7823e-03)
Max no. 149 | (2.4395e-05, 1.5099e-04)
Max no. 150 | (2.3476e-05, 7.4076e-04)
Max no. 151 | (2.3473e-05, 2.9791e-04)
Max no. 152 | (2.0640e-05, 4.9484e-04)
Max no. 153 | (2.0088e-05, 3.0023e-04)
Max no. 154 | (1.9317e-05, 1.3040e-04)
Max no. 155 | (1.7176e-05, 9.8465e-04)
Max no. 156 | (1.7095e-05, 7.5295e-04)
Max no. 157 | (1.4772e-05, 2.6785e-04)
Max no. 158 | (1.4390e-05, 4.2360e-04)
Max no. 159 | (1.1448e-05, 1.2842e-04)
Max no. 160 | (1.0027e-05, 3.4992e-03)
Max no. 161 | (8.8342e-06, 1.8515e-03)
Max no. 162 | (8.2212e-06, 1.0542e-04)
Max no. 163 | (7.5454e-06, 6.5640e-04)
Max no. 164 | (6.8188e-06, 4.4344e-05)
Max no. 165 | (6.5563e-06, 8.1232e-04)
Max no. 166 | (6.2088e-06, 5.3952e-05)
Max no. 167 | (6.0077e-06, 3.1821e-05)
Max no. 168 | (5.2092e-06, 2.4971e-04)
Max no. 169 | (3.9934e-06, 1.0805e-04)
Max no. 170 | (1.7525e-06, 5.0305e-04)
Max no. 171 | (1.2439e-06, 2.3754e-06)
Max no. 172 | (1.2188e-06, 2.8072e-05)
Max no. 173 | (9.9775e-07, 1.2680e-05)
Max no. 174 | (-3.3245e-07, 1.2890e-03)
Max no. 175 | (-5.1208e-07, 2.1154e-06)
Max no. 176 | (-1.0640e-06, 2.1206e-05)
Max no. 177 | (-4.8775e-06, 5.4577e-05)
Max no. 178 | (-6.6343e-06, 1.3705e-04)
Max no. 179 | (-9.4496e-06, 4.6024e-05)
Max no. 180 | (-1.0001e-05, 3.0266e-05)
Max no. 181 | (-1.1530e-05, 1.9882e-04)
Max no. 182 | (-1.1907e-05, 5.2870e-04)
